date,% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
2017-03-10 00:00:00,55.2,16.98,3218.6069891304346,576.9881739130434,399.44815217391306,10.11159347826087,1.7288191304347824,251.56910869565218,250.49071739130434,250.29791304347825,295.096,306.4,251.51697826086954,250.28852173913046,450.866,472.0956413043478,450.9782173913043,442.2145,451.5661086956522,463.36586956521734,456.71697826086955,66.91,1.31
2017-03-10 01:00:00,55.2,16.98,3218.6069891304346,576.9881739130434,399.44815217391306,10.11159347826087,1.7288191304347824,251.56910869565218,250.49071739130434,250.29791304347825,295.096,306.4,251.51697826086954,250.28852173913046,450.866,472.0956413043478,450.9782173913043,442.2145,451.5661086956522,463.36586956521734,456.71697826086955,66.91,1.31
2017-03-10 02:00:00,55.2,16.98,3228.852851851851,541.0393111111111,398.89324444444446,10.121817777777778,1.6717084444444443,249.86395555555558,250.28073333333333,249.91462222222222,295.096,306.4,249.82795555555555,249.8191111111111,448.45253333333335,462.9009555555556,450.0432666666667,450.0952888888889,446.00419999999997,457.63782222222227,446.2344444444444,67.06,1.11
2017-03-10 03:00:00,55.2,16.98,3484.9698,591.37926,398.6768,10.049866,1.7325022,250.07299999999998,250.2186,250.08698,295.096,306.4,250.13886,249.81876,448.86322,454.37784,448.58910000000003,450.70216,448.69563999999997,453.85328000000004,445.46854,66.97,1.27
2017-03-10 04:00:00,55.2,16.98,3197.702072972973,592.5358918918919,399.8473783783784,9.911834054054054,1.7316864864864865,250.32956756756755,249.54194594594594,249.90070270270272,295.096,306.4,250.0738108108108,250.3879189189189,496.971972972973,504.18575675675675,492.7222162162163,501.83013513513515,504.41043243243246,503.73743243243246,503.13862162162167,66.75,1.36
2017-03-10 05:00:00,55.2,16.98,3240.601355555555,620.0664888888889,399.9779777777777,9.743041777777778,1.765592,249.96691111111113,250.55748888888888,249.94313333333335,295.096,306.4,250.11713333333336,249.82737777777777,549.4500888888889,552.9344444444445,550.0645333333333,546.9999555555555,548.3757777777778,566.3037777777778,552.7419111111111,66.63,1.34
2017-03-10 06:00:00,55.2,16.98,3387.532553191489,621.203425531915,400.04714893617023,9.888383191489362,1.7648340425531914,249.84131914893615,250.44897872340428,250.00725531914895,295.096,306.4,249.99606382978723,250.0651063829787,549.5058510638298,550.7208085106383,550.6195531914893,550.5148723404255,550.464,561.6355531914893,553.1083829787234,66.85,1.15
2017-03-10 07:00:00,54.95000000000001,17.4,2934.280410402096,618.7280416666666,400.2698541666667,10.17920625,1.7655331250000001,250.13812499999997,250.74377083333334,250.01947916666666,295.096,306.4,250.09491666666668,249.82839583333336,547.4287916666666,549.8447916666667,550.1345625,551.5478125,551.4757291666666,567.3411041666667,550.3635833333334,65.76,2.76
2017-03-10 08:00:00,54.95000000000001,17.4,3201.1208062499995,595.5002916666666,400.13614583333333,10.177597916666667,1.76639625,249.84185416666665,250.49991666666665,250.18668749999998,295.096,306.4,250.32354166666667,249.94097916666666,550.5099791666667,550.71,549.8508333333333,547.023,547.4618958333333,570.9229583333333,552.9361666666667,65.89,2.65
2017-03-10 09:00:00,54.95,17.4,3840.6670212765957,590.9114680851064,400.20855319148933,9.942865106382978,1.76,250.08793617021277,249.5004680851064,249.9469574468085,295.096,306.4,250.20959574468085,250.16125531914892,548.8114255319149,548.2270000000001,551.9444468085106,550.861659574468,546.0639574468086,561.2818297872341,547.4557021276596,66.68,1.73
